Issue Date	Destination	Ship name	Ship nationality	Sailing	Merchant	Count	Unit	Commodity
1906-03-07	Palermo				Sta Coloniale	10	bales	skins
1906-03-07	Catania				G. Chiappello	16	bales	skins
1906-03-07	Livorno				Rossi & Villa	59	packages	scientific materials
1906-03-07	Livorno				Barker & Co.	12	bales	skins
1906-03-07	Livorno				Sta Coloniale	47	bales	skins
1906-03-07	Genoa				G. Chiappello	19	bales	skins
1906-03-07	London				Sta Coloniale	11	bales	skins
1906-03-07	New York				Livierato	100	fardes	coffee
1906-03-07	New York				Neely & Co.	36	bales	skins
1906-03-07	New York				Sta Coloniale	200	bags	coffee
1906-03-07	New York				Livierato	108	bags	coffee
1906-03-07	Tripoli				H. Fituri	31	packages	rice and peas
1906-03-07	Various Ports				Various	218	packages	sundries
1906-03-07	Naples				R. & O. Lindemann	45	bales	cotton
1906-03-07	Naples				Choremi, Benachi & Co.	60	bales	cotton
1906-03-07	Naples				F. C. Baines & Co.	25	bales	cotton
1906-03-07	Naples				F. C. Baines & Co.	130	bales	cotton
1906-03-07	Naples				Padova Rolin	32	packages	old copper
1906-03-07	Naples				Z. Zayan	36	packages	old copper
1906-03-07	Naples				Vasdeki Bros.	110	crates	tomatoes
1906-03-07	Naples				Pilal	209	crates	tomatoes
1906-03-07	Naples				R. Delia	407	crates	tomatoes
1906-03-07	Naples				M. A. Faham	50	crates	tomatoes
1906-03-07	Naples				Various	23	packages	sundries
1906-03-07	Genoa				R. Delia	72	crates	tomatoes
1906-03-07	Genoa				Choremi, Benachi & Co.	230	bales	cotton
1906-03-07	Genoa				Peel & Co.	397	bales	cotton
1906-03-07	Genoa				E. Mallison & Co.	235	bales	cotton
1906-03-07	Genoa				J. Planta & Co.	517	bales	cotton
1906-03-07	Genoa				R. & O. Lindemann	210	bales	cotton
1906-03-07	Genoa				Moursi Bros.	30	bales	cotton
1906-03-07	Genoa				Schmid & Co.	31	bales	cotton
1906-03-07	Genoa				Mohr & Fenderl	32	bales	cotton
1906-03-07	Genoa				G. Riecken	60	bales	cotton
1906-03-07	Genoa				Ravelli & Co.	145	bales	cotton
1906-03-07	Genoa				Ravelli & Co.	1,887	bales	cotton
1906-03-07	Genoa				Various	290	packages	vegetables
1906-03-07	Genoa				Various	2	packages	books
1906-03-07	Genoa				E. Mallison & Co.	575	bales	cotton
1906-03-07	Genoa				G. Frauger & Co.	650	bales	cotton
1906-03-07	Genoa				R. & O. Lindemann	585	bales	cotton
1906-03-07	Genoa				Choremi, Benachi & Co.	605	bales	cotton
1906-03-07	Genoa				Choremi, Benachi & Co.	2,415	bales	cotton
1906-11-13	Genoa				E. Toriel & fils	44	bales	cotton
1906-11-13	Genoa				Cattaui Bros. & Co.	106	bales	cotton
1906-11-13	Genoa				Walker & Meimarachi Ltd	300		empty casks
1906-11-13	Genoa				E. Barber & Son	71		empty casks
1906-11-13	Genoa				John B. Caffari	173		empty casks
1906-11-13	Genoa				M. L. Carasso	1	cases	cigarettes
1906-11-13	Genoa				N. Soussa Bros.	1	cases	cigarettes
1906-11-13	Genoa				Alexandria Bonded Warehouse	1	cases	cigarettes
1906-11-13	Genoa				B. Hazan & Co.	3	cases	cigarettes
1906-11-13	Genoa				C. N. Tocos & Co.	1	cases	cigarettes
1906-11-13	Genoa				Sucreries & Raff. d'Egypte	2000	bags	sugar
1906-11-13	Genoa				John B. Caffari	5	packages	tobacco
1906-11-13	Genoa				E. Hatoun	3	cases	curios
1906-11-13	Genoa				Mrs. Richmond	3	packages	effects
1906-11-13	Genoa				A. B. Burns	2	packages	effects
1906-11-13	Genoa				W. Snow Esq.	6	packages	effects
1906-11-13	Genoa				Thos. Cook & Son	7	packages	effects
